Model unknown

  Variables:
    x : Size=38080, Index=x_index
        Key                                : Lower : Value : Upper : Fixed : Stale : Domain
                  ('45', 'Goe', 'GSE', 29) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 30) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 31) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 32) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 33) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 34) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 35) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 36) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 37) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 38) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 39) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 40) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 1) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 2) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 3) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 4) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 5) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 6) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 7) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 8) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'HSU', 9) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 10) :     0 :  None :     1 : False :  True : Boolean
